0,青ぷに,0:青ぷに,,Blue Puni,0:Blue Puni,,藍噗尼,0:藍噗尼
1,緑ぷに,1:緑ぷに,,Green Puni,1:Green Puni,,綠噗尼,1:綠噗尼
2,赤ぷに,2:赤ぷに,,Red Puni,2:Red Puni,,紅噗尼,2:紅噗尼
3,花ぷに,3:花ぷに,,Flower Puni,3:Flower Puni,,花噗尼,3:花噗尼
4,黒ぷに,4:黒ぷに,,Black Puni,4:Black Puni,,黑噗尼,4:黑噗尼
5,シルバーぷに,5:シルバーぷに,,Silver Puni,5:Silver Puni,,銀噗尼,5:銀噗尼
6,ゴールドぷに,6:ゴールドぷに,,Gold Puni,6:Gold Puni,,金噗尼,6:金噗尼
7,ラベンダーぷに,7:ラベンダーぷに,,Lavender Puni,7:Lavender Puni,,薰衣草噗尼,7:薰衣草噗尼
8,でかぷに,8:でかぷに,,Big Puni,8:Big Puni,,巨大噗尼,8:巨大噗尼
9,シャイニングぷに,9:シャイニングぷに,,Shining Puni,9:Shining Puni,,發光噗尼,9:發光噗尼
10,ラフレシアぷに,10:ラフレシアぷに,,Rafflesia Puni,10:Rafflesia Puni,,大王花噗尼,10:大王花噗尼
11,ダークネスぷに,11:ダークネスぷに,,Darkness Puni,11:Darkness Puni,,暗黑噗尼,11:暗黑噗尼
12,プレシャスぷに,12:プレシャスぷに,,Precious Puni,12:Precious Puni,,珍奇噗尼,12:珍奇噗尼
13,でかぷに,13:でかぷに,,Big Puni,13:Big Puni,,巨大噗尼,13:巨大噗尼
14,オオイタチ,14:オオイタチ,,Giant Weasel,14:Giant Weasel,,大鼬,14:大鼬
15,ブルーフィン,15:ブルーフィン,,Bluefin,15:Bluefin,,藍鰭鼬,15:藍鰭鼬
16,シルキーファー,16:シルキーファー,,Silky Fur,16:Silky Fur,,柔滑皮鼬,16:柔滑皮鼬
17,スカーフバニー,17:スカーフバニー,,Scarf Bunny,17:Scarf Bunny,,圍巾兔,17:圍巾兔
18,ナイトハンター,18:ナイトハンター,,Night Hunter,18:Night Hunter,,暗夜獵人,18:暗夜獵人
19,ルインコラプター,19:ルインコラプター,,Ruined Corrupter,19:Ruined Corrupter,,毀滅的侵蝕者,19:毀滅的侵蝕者
20,ハイドストーカー,20:ハイドストーカー,,Hide Stalker,20:Hide Stalker,,暗地追跡者,20:暗地追跡者
21,ロップイヤー,21:ロップイヤー,,Loppy Ear,21:Loppy Ear,,垂耳兔,21:垂耳兔
22,オオイタチマザー,22:オオイタチマザー,,Mother Weasel,22:Mother Weasel,,大鼬媽媽,22:大鼬媽媽
23,サベージアサシン,23:サベージアサシン,,Savage Assassin,23:Savage Assassin,,野性刺客,23:野性刺客
24,ヘクスラビット,24:ヘクスラビット,,Hex Rabbit,24:Hex Rabbit,,咒術兔,24:咒術兔
25,ラージアントラー,25:ラージアントラー,,Large Antler,25:Large Antler,,巨大鹿角,25:巨大鹿角
26,星の聖獣,26:星の聖獣,,Holy Beast of the Stars,26:Holy Beast of the Stars,,星辰聖獸,26:星辰聖獸
27,花の精,27:花の精,,Flower Pixie,27:Flower Pixie,,花精,27:花精
28,イルミネイトシルフ,28:イルミネイトシルフ,,Illuminated Sylph,28:Illuminated Sylph,,微光靈者,28:微光靈者
29,フラワーガーデナー,29:フラワーガーデナー,,Flower Gardener,29:Flower Gardener,,護花園丁,29:護花園丁
30,ゼファーピクシー,30:ゼファーピクシー,,Zephyr Pixie,30:Zephyr Pixie,,微風仙子,30:微風仙子
31,悠久の守り手,31:悠久の守り手,,Eternal Guardian,31:Eternal Guardian,,悠久守護者,31:悠久守護者
32,光熱の乙女,32:光熱の乙女,,Blazing Maiden,32:Blazing Maiden,,光熱少女,32:光熱少女
33,ホーリースピリット,33:ホーリースピリット,,Hallowed Spirit,33:Hallowed Spirit,,聖光靈體,33:聖光靈體
34,プルームローレライ,34:プルームローレライ,,Plumed Lorelei,34:Plumed Lorelei,,羽毛女妖,34:羽毛女妖
35,エルダーフェアリー,35:エルダーフェアリー,,Elder Fairy,35:Elder Fairy,,妖精長老,35:妖精長老
36,幻を司る者,36:幻を司る者,,Mirage Master,36:Mirage Master,,控幻者,36:控幻者
37,ルナリアエンゼル,37:ルナリアエンゼル,,Lunaria Angel,37:Lunaria Angel,,月光天使,37:月光天使
38,悪夢の精,38:悪夢の精,,Nightmare Spirit,38:Nightmare Spirit,,惡夢之靈,38:惡夢之靈
39,シュヴァルツレイス,39:シュヴァルツレイス,,Schwarzwraith,39:Schwarzwraith,,黑色巨靈,39:黑色巨靈
40,スイートノクターナル,40:スイートノクターナル,,Sweet Nocturnal,40:Sweet Nocturnal,,美好之夜,40:美好之夜
41,ムーンヴェイル,41:ムーンヴェイル,,Moon Veil,41:Moon Veil,,月之面紗,41:月之面紗
42,ストーンゴーレム,42:ストーンゴーレム,,Stone Golem,42:Stone Golem,,硬石魔巨人,42:硬石魔巨人
43,ロックパペット,43:ロックパペット,,Rock Puppet,43:Rock Puppet,,石傀儡,43:石傀儡
44,ジュエルガード,44:ジュエルガード,,Jewel Guard,44:Jewel Guard,,寶石衛兵,44:寶石衛兵
45,魔石の傀儡,45:魔石の傀儡,,Fairystone Puppet,45:Fairystone Puppet,,魔石傀儡,45:魔石傀儡
46,メタルゴーレム,46:メタルゴーレム,,Metal Golem,46:Metal Golem,,金屬魔巨人,46:金屬魔巨人
47,メテオライトドール,47:メテオライトドール,,Meteorite Doll,47:Meteorite Doll,,隕石魔偶,47:隕石魔偶
48,土塊の使役者,48:土塊の使役者,,Earth Master,48:Earth Master,,土塊使役者,48:土塊使役者
49,ラスティオニキス,49:ラスティオニキス,,Rusty Onyx,49:Rusty Onyx,,鏽瑪瑙巨魔,49:鏽瑪瑙巨魔
50,コロッサスゴーレム,50:コロッサスゴーレム,,Colossus Golem,50:Colossus Golem,,巨像魔巨人,50:巨像魔巨人
51,不朽の彫像,51:不朽の彫像,,Eternal Sculpture,51:Eternal Sculpture,,不朽雕像,51:不朽雕像
52,巨石の兵士,52:巨石の兵士,,Boulder Soldier,52:Boulder Soldier,,巨石士兵,52:巨石士兵
53,ダークマタ,53:ダークマタ,,Darkomaton,53:Darkomaton,,暗黑魔巨人,53:暗黑魔巨人
54,ノワールドール,54:ノワールドール,,Noir Doll,54:Noir Doll,,漆黑魔偶,54:漆黑魔偶
55,クラムベリー,55:クラムベリー,,Cramberry,55:Cramberry,,蔓越莓,55:蔓越莓
56,豊穣を祈る者,56:豊穣を祈る者,,Harvest Prayer,56:Harvest Prayer,,祈求豐收者,56:祈求豐收者
57,つのひつじ,57:つのひつじ,,Horned Sheep,57:Horned Sheep,,角綿羊,57:角綿羊
58,アッシュウール,58:アッシュウール,,Ashen Wool,58:Ashen Wool,,灰毛綿羊,58:灰毛綿羊
59,フラッフィーシープ,59:フラッフィーシープ,,Fluffy Sheep,59:Fluffy Sheep,,柔毛綿羊,59:柔毛綿羊
60,ドリームキャッチャー,60:ドリームキャッチャー,,Dreamcatcher,60:Dreamcatcher,,捕夢者,60:捕夢者
61,きょだいひつじ,61:きょだいひつじ,,Giant Sheep,61:Giant Sheep,,巨大綿羊,61:巨大綿羊
62,暗い思い出の獣,62:暗い思い出の獣,,Mindlurker,62:Mindlurker,,灰暗回憶之獸,62:灰暗回憶之獸
63,マッドビースト,63:マッドビースト,,Mad Beast,63:Mad Beast,,狂暴猛獸,63:狂暴猛獸
64,スケイルアルマジロ,64:スケイルアルマジロ,,Scaled Armadillo,64:Scaled Armadillo,,鱗甲犰狳,64:鱗甲犰狳
65,インタクトカラパス,65:インタクトカラパス,,Intact Carapace,65:Intact Carapace,,完美甲殼,65:完美甲殼
66,タイニーデビル,66:タイニーデビル,,Tiny Devil,66:Tiny Devil,,迷你惡魔,66:迷你惡魔
67,ブルーフィーンド,67:ブルーフィーンド,,Blue Fiend,67:Blue Fiend,,藍惡魔,67:藍惡魔
68,ホットイービル,68:ホットイービル,,Hot Evil,68:Hot Evil,,炙熱惡魔,68:炙熱惡魔
69,アッシュデーモン,69:アッシュデーモン,,Ash Demon,69:Ash Demon,,灰惡魔,69:灰惡魔
70,ダイアクマ,70:ダイアクマ,,King Devil,70:King Devil,,大惡魔,70:大惡魔
71,ストームエレメンタル,71:ストームエレメンタル,,Storm Elemental,71:Storm Elemental,,風暴元素,71:風暴元素
72,アイシークリスタル,72:アイシークリスタル,,Icy Crystal,72:Icy Crystal,,寒冰水晶,72:寒冰水晶
73,自然の精霊,73:自然の精霊,,Spirit of Nature,73:Spirit of Nature,,自然精靈,73:自然精靈
74,スクランブルエナジー,74:スクランブルエナジー,,Scrambled Energy,74:Scrambled Energy,,能量爭奪者,74:能量爭奪者
75,ディザスターコア,75:ディザスターコア,,Disaster Core,75:Disaster Core,,災難核心,75:災難核心
76,アースプラント,76:アースプラント,,Earth Plant,76:Earth Plant,,大地草,76:大地草
77,ルートスプレッダー,77:ルートスプレッダー,,Root Spreader,77:Root Spreader,,根莖傳播者,77:根莖傳播者
78,大樹の使い,78:大樹の使い,,Great Tree Messenger,78:Great Tree Messenger,,大樹使者,78:大樹使者
79,グリームミストルード,79:グリームミストルード,,Great Mistread,79:Great Mistread,,閃霧狂暴,79:閃霧狂暴
80,ユグドラシル,80:ユグドラシル,,Yggdrasil,80:Yggdrasil,,世界樹,80:世界樹
81,レイジネス,81:レイジネス,,Rageness,81:Rageness,,怠惰者,81:怠惰者
82,グランドビルダー,82:グランドビルダー,,Ground Builder,82:Ground Builder,,大地建築工,82:大地建築工
83,森の支配者,83:森の支配者,,Ruler of the Forest,83:Ruler of the Forest,,森林支配者,83:森林支配者
84,スパークライザー,84:スパークライザー,,Spark Riser,84:Spark Riser,,閃耀統籌者,84:閃耀統籌者
85,地獄の番人,85:地獄の番人,,Hell Keeper,85:Hell Keeper,,地獄守衛,85:地獄守衛
86,巨大ナマケモノ,86:巨大ナマケモノ,,Giant Sloth,86:Giant Sloth,,巨大樹懶,86:巨大樹懶
87,フェラルクロウ,87:フェラルクロウ,,Feral Crow,87:Feral Crow,,兇猛鉤爪,87:兇猛鉤爪
88,スマートリッパー,88:スマートリッパー,,Smart Ripper,88:Smart Ripper,,狡猾開膛手,88:狡猾開膛手
89,バッダスホッパー,89:バッダスホッパー,,Ferocious Hopper,89:Ferocious Hopper,,卑鄙跳躍者,89:卑鄙跳躍者
90,獰猛たる狩人,90:獰猛たる狩人,,Fierce Hunter,90:Fierce Hunter,,凶猛獵人,90:凶猛獵人
91,タイラント,91:タイラント,,Tyrant,91:Tyrant,,狂怒暴君,91:狂怒暴君
92,動く甲冑,92:動く甲冑,,Living Armor,92:Living Armor,,移動盔甲,92:移動盔甲
93,ゴーストアーマー,93:ゴーストアーマー,,Ghost Armor,93:Ghost Armor,,鬼魂鎧甲,93:鬼魂鎧甲
94,亡国の近衛鎧,94:亡国の近衛鎧,,Honor Guard Armor,94:Honor Guard Armor,,亡國的近衛鎧,94:亡國的近衛鎧
95,グラディエーター,95:グラディエーター,,Gladiator,95:Gladiator,,角鬥士,95:角鬥士
96,伝承の古強者,96:伝承の古強者,,Legendary Warrior,96:Legendary Warrior,,傳承古強者,96:傳承古強者
97,イモータルナイト,97:イモータルナイト,,Immortal Knight,97:Immortal Knight,,不朽騎士,97:不朽騎士
98,ロイヤルアドミラル,98:ロイヤルアドミラル,,Royal Admiral,98:Royal Admiral,,皇家上將,98:皇家上將
99,戦士の大鎧,99:戦士の大鎧,,Heavy Warrior Armor,99:Heavy Warrior Armor,,戰士的大鎧,99:戰士的大鎧
100,ノーブルパラディン,100:ノーブルパラディン,,Noble Paladin,100:Noble Paladin,,貴族聖騎士,100:貴族聖騎士
101,グレートガーディアン,101:グレートガーディアン,,Great Guardian,101:Great Guardian,,偉大守護者,101:偉大守護者
102,幻影の幽鬼,102:幻影の幽鬼,,Demonic Phantom,102:Demonic Phantom,,幻影幽鬼,102:幻影幽鬼
103,狂戦士の影,103:狂戦士の影,,Berserker Shadow,103:Berserker Shadow,,狂戰士之影,103:狂戰士之影
104,テンプルウォーリアー,104:テンプルウォーリアー,,Temple Warrior,104:Temple Warrior,,神殿戰士,104:神殿戰士
105,シャタードブレイカー,105:シャタードブレイカー,,Shattered Breaker,105:Shattered Breaker,,粉碎破壞者,105:粉碎破壞者
106,スティンガー,106:スティンガー,,Stinger,106:Stinger,,毒刺,106:毒刺
107,シャープシザーズ,107:シャープシザーズ,,Sharpened Scissors,107:Sharpened Scissors,,銳剪,107:銳剪
108,パイルバンカー,108:パイルバンカー,,Pile Bunker,108:Pile Bunker,,貫釘,108:貫釘
109,渇きの悪魔,109:渇きの悪魔,,Parching Demon,109:Parching Demon,,旱季惡魔,109:旱季惡魔
110,スレイプニル,110:スレイプニル,,Sleipnir,110:Sleipnir,,斯雷普尼爾,110:斯雷普尼爾
111,常闇の斥候,111:常闇の斥候,,Dark Scout,111:Dark Scout,,常闇斥候,111:常闇斥候
112,スパインラット,112:スパインラット,,Spine Rat,112:Spine Rat,,脊柱鼠,112:脊柱鼠
113,オーガヘッド,113:オーガヘッド,,Ogre Head,113:Ogre Head,,巨獸首領,113:巨獸首領
114,影の尖兵,114:影の尖兵,,Shadow Vanguard,114:Shadow Vanguard,,魅影尖兵,114:魅影尖兵
115,スラストヘッジ,115:スラストヘッジ,,Thrust Hedge,115:Thrust Hedge,,猛刺之蝟,115:猛刺之蝟
116,シャドウイーター,116:シャドウイーター,,Shadow Eater,116:Shadow Eater,,食影者,116:食影者
117,レジオンニードル,117:レジオンニードル,,Legion Needle,117:Legion Needle,,針山刺蝟,117:針山刺蝟
118,ミニワイバーン,118:ミニワイバーン,,Mini Wyvern,118:Mini Wyvern,,迷你雙足飛龍,118:迷你雙足飛龍
119,ウィンドフェザー,119:ウィンドフェザー,,Zephyr Feather,119:Zephyr Feather,,風羽,119:風羽
120,イービルオーキス,120:イービルオーキス,,Evil Orchis,120:Evil Orchis,,惡魔蘭龍,120:惡魔蘭龍
121,ファットドレイク,121:ファットドレイク,,Stout Drake,121:Stout Drake,,大肚龍,121:大肚龍
122,マッハホーク,122:マッハホーク,,Mach Hawk,122:Mach Hawk,,馬赫飛翼,122:馬赫飛翼
123,ウォッチャー,123:ウォッチャー,,Watcher,123:Watcher,,守望者,123:守望者
124,ドラゴニックロード,124:ドラゴニックロード,,Draconic Lord,124:Draconic Lord,,飛龍領主,124:飛龍領主
125,ジャイアントモー,125:ジャイアントモー,,Giant Maw,125:Giant Maw,,巨咽龍,125:巨咽龍
126,メガワイバーン,126:メガワイバーン,,Mega Wyvern,126:Mega Wyvern,,巨型雙足飛龍,126:巨型雙足飛龍
127,キングオブストーム,127:キングオブストーム,,King of Storms,127:King of Storms,,風暴之王,127:風暴之王
128,クラウドライナー,128:クラウドライナー,,Cloud Liner,128:Cloud Liner,,雲端行者,128:雲端行者
129,地縛竜,129:地縛竜,,Landbound Dragon,129:Landbound Dragon,,地縛龍,129:地縛龍
130,呪われた翼,130:呪われた翼,,Cursed Wing,130:Cursed Wing,,詛咒之翼,130:詛咒之翼
131,アーマーウィング,131:アーマーウィング,,Armored Wing,131:Armored Wing,,鎧甲之翼,131:鎧甲之翼
132,鋼の猛禽,132:鋼の猛禽,,Steel Raptor,132:Steel Raptor,,鋼鐵猛禽,132:鋼鐵猛禽
133,スプリントバード,133:スプリントバード,,Sprinting Bird,133:Sprinting Bird,,快跑鳥,133:快跑鳥
134,マッシブビーク,134:マッシブビーク,,Massive Beak,134:Massive Beak,,巨喙鳥,134:巨喙鳥
135,アルバトロス,135:アルバトロス,,Albatross,135:Albatross,,信天翁,135:信天翁
136,ワイルドクレスト,136:ワイルドクレスト,,Wild Crest,136:Wild Crest,,野生大冠雞,136:野生大冠雞
137,狂奔する怪鳥,137:狂奔する怪鳥,,Overwhelming Bird,137:Overwhelming Bird,,狂奔怪鳥,137:狂奔怪鳥
138,宵鳴鳥,138:宵鳴鳥,,Twilight Songbird,138:Twilight Songbird,,宵鳴鳥,138:宵鳴鳥
139,亡き巨鳥の影,139:亡き巨鳥の影,,Lifeless Shadow,139:Lifeless Shadow,,死亡巨鳥之影,139:死亡巨鳥之影
140,宵闇の刺客,140:宵闇の刺客,,Twilight Assassin,140:Twilight Assassin,,宵闇刺客,140:宵闇刺客
141,クロークインダガー,141:クロークインダガー,,Cloak-in-dagger,141:Cloak-in-dagger,,身披短刃者,141:身披短刃者
142,影の暗殺者,142:影の暗殺者,,Shadow Assassin,142:Shadow Assassin,,暗影刺客,142:暗影刺客
143,サイファーコード,143:サイファーコード,,Cipher Code,143:Cipher Code,,暗號代碼,143:暗號代碼
144,地獄の番人,144:地獄の番人,,Hell Keeper,144:Hell Keeper,,地獄守衛,144:地獄守衛
145,スラッシュブレイダー,145:スラッシュブレイダー,,Slashblader,145:Slashblader,,斬擊劍狼,145:斬擊劍狼
146,クリムゾンアームズ,146:クリムゾンアームズ,,Crimson Arms,146:Crimson Arms,,緋紅刃狼,146:緋紅刃狼
147,魔剣の遣い手,147:魔剣の遣い手,,Spellblade Wielder,147:Spellblade Wielder,,魔劍好手,147:魔劍好手
148,破邪の月狼,148:破邪の月狼,,Demon Slayer Wolf,148:Demon Slayer Wolf,,破邪月狼,148:破邪月狼
149,スレイプニル,149:スレイプニル,,Sleipnir,149:Sleipnir,,斯雷普尼爾,149:斯雷普尼爾
150,ハイドシャーク,150:ハイドシャーク,,Hide Shark,150:Hide Shark,,暗穴鯊魚,150:暗穴鯊魚
151,大顎鮫,151:大顎鮫,,Megamouth,151:Megamouth,,大顎鮫,151:大顎鮫
152,スピネルフィン,152:スピネルフィン,,Spinal Fin,152:Spinal Fin,,尖晶鰭鯊,152:尖晶鰭鯊
153,グランタスカー,153:グランタスカー,,Grand Tusk,153:Grand Tusk,,巨型獠牙,153:巨型獠牙
154,砂塵の暴君,154:砂塵の暴君,,Sandstorm Tyrant,154:Sandstorm Tyrant,,砂塵暴君,154:砂塵暴君
155,デザートラグーン,155:デザートラグーン,,Desert Lagoon,155:Desert Lagoon,,沙漠潟湖鯊,155:沙漠潟湖鯊
156,思念の捕食者,156:思念の捕食者,,Mind Ravager,156:Mind Ravager,,思念捕食者,156:思念捕食者
157,大地を這う大魚,157:大地を這う大魚,,Land Crawler,157:Land Crawler,,盤踞大地的大魚,157:盤踞大地的大魚
158,ソウルクリーバー,158:ソウルクリーバー,,Soul Cleaver,158:Soul Cleaver,,斷魂者,158:斷魂者
159,常闇の将軍,159:常闇の将軍,,Dark General,159:Dark General,,常闇將軍,159:常闇將軍
160,クラストビートル,160:クラストビートル,,Cluster Beetle,160:Cluster Beetle,,地殼甲蟲,160:地殼甲蟲
161,影の司令,161:影の司令,,Shadow Commander,161:Shadow Commander,,魅影司令,161:魅影司令
162,ホーンデーモン,162:ホーンデーモン,,Horned Demon,162:Horned Demon,,巨角惡魔,162:巨角惡魔
163,ライノフィーンド,163:ライノフィーンド,,Rhino Fiend,163:Rhino Fiend,,犀角魔鬼,163:犀角魔鬼
164,古城の翼竜,164:古城の翼竜,,Old Castle Dragon,164:Old Castle Dragon,,古城飛龍,164:古城飛龍
165,天統べる覇竜,165:天統べる覇竜,,Dragon Lord,165:Dragon Lord,,統天霸龍,165:統天霸龍
166,闇を裂く光竜,166:闇を裂く光竜,,Dragon of Light,166:Dragon of Light,,撕裂黑暗的光龍,166:撕裂黑暗的光龍
167,常闇の女王,167:常闇の女王,,Ravaging Queen,167:Ravaging Queen,,常闇女王,167:常闇女王
168,影の女王,168:影の女王,,Queen of Shadows,168:Queen of Shadows,,魅影女王,168:魅影女王
169,無冠の女王,169:無冠の女王,,Crownless Queen,169:Crownless Queen,,無冠女王,169:無冠女王
170,浮遊する骸,170:浮遊する骸,,Floating Skeleton,170:Floating Skeleton,,懸浮屍骸,170:懸浮屍骸
171,スケルトンエンペラー,171:スケルトンエンペラー,,Skeleton Emperor,171:Skeleton Emperor,,骷髏皇帝,171:骷髏皇帝
172,オートマトン,172:オートマトン,,Automaton,172:Automaton,,自動機器人,172:自動機器人
173,セントリーガード,173:セントリーガード,,Sentry Guard,173:Sentry Guard,,哨衛,173:哨衛
174,エルダートレント,174:エルダートレント,,Elder Treant,174:Elder Treant,,樹人長老,174:樹人長老
175,エンシェントドラゴン,175:エンシェントドラゴン,,Ancient Dragon,175:Ancient Dragon,,古代巨龍,175:古代巨龍
176,狂気の王,176:狂気の王,,Deranged King,176:Deranged King,,癲狂之王,176:癲狂之王
177,ゲートキーパー,177:ゲートキーパー,,Gatekeeper,177:Gatekeeper,,守門人,177:守門人
178,万象の大典,178:万象の大典,,Code of the Universe,178:Code of the Universe,,萬象大典,178:萬象大典
179,万象の大典・終章,179:万象の大典・終章,,Code of the Universe - Final,179:Code of the Universe - Final,,萬象大典‧終章,179:萬象大典‧終章
180,万象の大典・腕,180:万象の大典・腕,,Code of the Universe (Arm),180:Code of the Universe (Arm),,萬象大典‧巨臂,180:萬象大典‧巨臂
181,万象の大典・終章,181:万象の大典・終章,,Code of the Universe - Final,181:Code of the Universe - Final,,萬象大典‧終章,181:萬象大典‧終章
182,ラムロースト２号,182:ラムロースト２号,,Weasel Roast,182:Weasel Roast,,烤羊肉2號,182:烤羊肉2號
183,ラムロースト３号,183:ラムロースト３号,,Lamb Roast,183:Lamb Roast,,烤羊肉3號,183:烤羊肉3號
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,:,,,: